Names,actor_no_movie,actor_avg_rating,actor_avg_votes,actor_age,oscar_winner,oscar_nominate,nm_id
Leonardo DiCaprio,42,7.042857143,359543.8571,48,1,6,nm0000138
Johnny Depp,86,6.762790698,155307.5116,59,0,3,nm0000136
Amber Heard,47,5.738297872,81570.31915,36,0,0,nm1720028
Will Smith,44,6.365909091,190791.8409,54,0,3,nm0000226
Jim Carrey,62,6.501612903,129630.5,60,0,0,nm0000120
Ewan McGregor,89,6.691011236,107104.0562,51,0,0,nm0000191
Daniel Craig,69,6.810144928,98724.08696,54,0,0,nm0185819
Mads Mikkelsen,55,6.838181818,70781.29091,57,0,0,nm0586568
Jude Law,75,6.890666667,102351.0267,50,0,2,nm0000179
Jackie Chan,136,6.102941176,25048.16912,68,0,1,nm0000329
Julia Roberts,63,6.417460317,89289.52381,55,0,4,nm0000210
Tom Cruise,44,6.859090909,239475.4318,60,0,3,nm0000129
Alexandra Daddario,57,6.433333333,59369.61404,36,0,0,nm1275259
Anya Taylor-Joy,22,6.618181818,101907.1364,26,0,0,nm5896355
Eva Green,25,6.58,103757.12,42,0,0,nm1200692
Megan Fox,35,5.714285714,82415.31429,36,0,0,nm1083271
Chris Hemsworth,42,6.735714286,259927.119,39,0,0,nm1165110
Vin Diesel,47,6.663829787,200302.0426,55,0,0,nm0004874
Gal Gadot,28,6.342857143,189192.1786,37,0,0,nm2933757
Jason Momoa,34,6.629411765,156695.9118,43,0,0,nm0597388
