Names,writer_no_movie,writer_avg_rating,writer_avg_votes,writer_age,nm_id
William Shakespeare,878,6.902733485,2215.400911,458,nm0000636
J.K. Rowling,43,7.090697674,133187.8837,57,nm0746830
Stan Lee,163,6.857055215,125362.0982,100,nm0498278
Christopher Nolan,17,7.817647059,817821.5294,52,nm0634240
David S. Goyer,48,6.464583333,192174.875,57,nm0275286
Nawapol Thamrongrattanarit,10,7.02,1247.2,38,nm3849565
Poj Arnon,19,4.436842105,156.1578947,51,nm1547925
George Lucas,158,6.775949367,78192.23418,78,nm0000184
Stephen King,258,6.512015504,38970.87209,75,nm0000175
Quentin Tarantino,27,7.059259259,392841.5926,59,nm0000233
